learning_mode,model,file_name,file_path,UCE,OGE,UGE,NNE,DTE,MGE,total_hallucinations
zeroshot,qwen,201707,zeroshot/qwen/201707.txt,0,0,5,0,3,23,31
fewshot,chatgpt,201709,fewshot/chatgpt/201709.txt,0,0,0,0,1,3,4
fewshot,llama,201709,fewshot/llama/201709.txt,0,0,1,0,2,9,12
fewshot,qwen,201709,fewshot/qwen/201709.txt,0,0,1,0,1,5,7
oneshot,chatgpt,201709,oneshot/chatgpt/201709.txt,0,0,1,0,2,10,13
oneshot,llama,201709,oneshot/llama/201709.txt,0,0,3,2,3,24,32
oneshot,qwen,201709,oneshot/qwen/201709.txt,0,0,2,2,3,16,23
zeroshot,chatgpt,201709,zeroshot/chatgpt/201709.txt,0,0,1,0,2,11,14
zeroshot,llama,201709,zeroshot/llama/201709.txt,0,0,4,2,3,27,36
zeroshot,qwen,201709,zeroshot/qwen/201709.txt,0,0,3,2,3,19,27
fewshot,chatgpt,201710,fewshot/chatgpt/201710.txt,0,0,0,0,1,0,1
fewshot,llama,201710,fewshot/llama/201710.txt,0,1,0,0,2,7,10
fewshot,qwen,201710,fewshot/qwen/201710.txt,0,1,0,0,2,2,5
oneshot,chatgpt,201710,oneshot/chatgpt/201710.txt,0,2,0,0,3,11,16
oneshot,llama,201710,oneshot/llama/201710.txt,0,2,3,0,8,23,36
oneshot,qwen,201710,oneshot/qwen/201710.txt,0,2,1,0,5,16,24
zeroshot,chatgpt,201710,zeroshot/chatgpt/201710.txt,0,2,0,0,4,12,18
zeroshot,llama,201710,zeroshot/llama/201710.txt,0,2,5,0,9,28,44
zeroshot,qwen,201710,zeroshot/qwen/201710.txt,0,2,2,0,7,17,28
fewshot,chatgpt,201802,fewshot/chatgpt/201802.txt,0,0,1,0,0,0,1
fewshot,llama,201802,fewshot/llama/201802.txt,0,0,3,0,0,2,5
fewshot,qwen,201802,fewshot/qwen/201802.txt,0,0,2,0,0,1,3
oneshot,chatgpt,201802,oneshot/chatgpt/201802.txt,0,0,4,0,0,2,6
oneshot,llama,201802,oneshot/llama/201802.txt,0,0,8,3,1,13,25
oneshot,qwen,201802,oneshot/qwen/201802.txt,0,0,5,3,0,6,14
zeroshot,chatgpt,201802,zeroshot/chatgpt/201802.txt,0,0,5,0,0,3,8
zeroshot,llama,201802,zeroshot/llama/201802.txt,0,0,10,3,1,14,28
zeroshot,qwen,201802,zeroshot/qwen/201802.txt,0,0,7,3,0,10,20
fewshot,chatgpt,201803,fewshot/chatgpt/201803.txt,0,0,1,0,0,1,2
fewshot,llama,201803,fewshot/llama/201803.txt,0,0,1,0,1,7,9
fewshot,qwen,201803,fewshot/qwen/201803.txt,0,0,1,0,1,3,5
oneshot,chatgpt,201803,oneshot/chatgpt/201803.txt,0,0,1,0,2,8,11
oneshot,llama,201803,oneshot/llama/201803.txt,0,0,3,1,8,18,30
oneshot,qwen,201803,oneshot/qwen/201803.txt,0,0,2,1,4,10,17
zeroshot,chatgpt,201803,zeroshot/chatgpt/201803.txt,0,0,2,0,3,8,13
zeroshot,llama,201803,zeroshot/llama/201803.txt,0,0,4,1,9,20,34
zeroshot,qwen,201803,zeroshot/qwen/201803.txt,0,0,3,1,5,12,21
fewshot,chatgpt,201808,fewshot/chatgpt/201808.txt,0,0,0,0,0,1,1
fewshot,llama,201808,fewshot/llama/201808.txt,0,0,0,0,0,0,0
fewshot,qwen,201808,fewshot/qwen/201808.txt,0,0,1,0,0,4,5
oneshot,chatgpt,201808,oneshot/chatgpt/201808.txt,0,1,0,0,0,0,1
oneshot,llama,201808,oneshot/llama/201808.txt,0,2,3,3,4,6,18
oneshot,qwen,201808,oneshot/qwen/201808.txt,0,1,1,1,2,3,8
zeroshot,chatgpt,201808,zeroshot/chatgpt/201808.txt,0,1,1,0,1,0,3
zeroshot,llama,201808,zeroshot/llama/201808.txt,0,2,4,3,5,6,20
zeroshot,qwen,201808,zeroshot/qwen/201808.txt,0,2,2,1,3,3,11
fewshot,chatgpt,201901,fewshot/chatgpt/201901.txt,0,0,1,0,1,1,3
fewshot,llama,201901,fewshot/llama/201901.txt,0,0,2,1,1,11,15
fewshot,qwen,201901,fewshot/qwen/201901.txt,0,0,1,0,1,6,8
oneshot,chatgpt,201901,oneshot/chatgpt/201901.txt,0,0,2,1,1,13,17
oneshot,llama,201901,oneshot/llama/201901.txt,0,0,3,3,2,26,34
